userCardNo,Payments,real_collection_date,category,img_url
WJFM7PWS,와이셔츠&드라이 47,2025-9-8,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250909025602_0d8edecfb9874d3398070064c397f341.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-20,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250921062106_687b74f449ad4c26a813ef31341054e3.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-20,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250921062106_87be36627f3e45d0876046bbef30586e.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-20,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250921062206_8febffe2cb7f408fae47fcd67077c55b.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-20,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250921062306_eef8b539c9eb45b3967dcfb9f20f59e5.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-20,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250921062306_c70a0b4212d2463f9f2dd15778abccc6.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-20,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250921062406_1ff0a68f545d4477a0df4a1cf5efd381.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-20,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250921062406_c86dc4f727744dc99f996812c9e7fe49.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-20,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250921062506_166fd7c7cb934d6f9e39c42dcb80275b.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-20,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250921062206_2f212b24bc4c4f9b862033ebe353843f.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-20,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250921062306_51fff8f0f0c74de393bde51cf24c03bd.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-10-11,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251012081108_95e213abe0d2469e9ed5bb64226f45b3.jpeg
